# roll pitch yaw tx ty tz
-0.206180 -0.563988 -0.080316 -0.056617 -0.112403 0.382215
-0.208554 -0.561538 -0.074915 -0.056103 -0.112811 0.382948
-0.210506 -0.558980 -0.069554 -0.055709 -0.113282 0.383594
-0.211519 -0.556780 -0.064647 -0.055161 -0.113564 0.384095
-0.213106 -0.554309 -0.059717 -0.054695 -0.113864 0.384287
-0.214725 -0.551526 -0.054685 -0.054340 -0.113931 0.384527
-0.215716 -0.548513 -0.050134 -0.054171 -0.113857 0.384630
-0.216318 -0.546104 -0.045752 -0.053969 -0.113656 0.384795
-0.217977 -0.542858 -0.040940 -0.053867 -0.113189 0.384970
-0.218368 -0.539978 -0.036605 -0.053892 -0.112707 0.385121
-0.218581 -0.536813 -0.032698 -0.053853 -0.111956 0.385411
-0.218941 -0.533644 -0.028637 -0.053910 -0.111166 0.385626
-0.219471 -0.530655 -0.024452 -0.054000 -0.110417 0.385813
-0.219269 -0.527435 -0.020864 -0.054107 -0.109519 0.385862
-0.218486 -0.524194 -0.017513 -0.054098 -0.108475 0.385882
-0.218708 -0.521105 -0.013799 -0.054090 -0.107243 0.385647
-0.218740 -0.517487 -0.010477 -0.054211 -0.106143 0.385215
-0.218414 -0.514450 -0.007198 -0.054350 -0.105011 0.385079
-0.218044 -0.511046 -0.003976 -0.054441 -0.103942 0.385112
-0.217270 -0.507170 -0.001079 -0.054503 -0.102920 0.385121
-0.216289 -0.504111 0.001660 -0.054576 -0.101949 0.384890
-0.215199 -0.499992 0.004086 -0.054720 -0.100965 0.384613
-0.213853 -0.495990 0.006235 -0.054898 -0.099924 0.384269
-0.212871 -0.492211 0.008651 -0.055106 -0.098887 0.383805
-0.211644 -0.488347 0.010939 -0.055385 -0.097904 0.383137
-0.209890 -0.483891 0.012706 -0.055793 -0.097047 0.382262
-0.209263 -0.480140 0.015108 -0.056206 -0.096271 0.381438
-0.207413 -0.475872 0.016748 -0.056700 -0.095460 0.380664
-0.206282 -0.471672 0.018563 -0.057306 -0.094744 0.379698
-0.204376 -0.467560 0.019922 -0.058200 -0.094133 0.378784
-0.202500 -0.463434 0.021450 -0.059237 -0.093564 0.378018
-0.201083 -0.458841 0.022844 -0.060463 -0.093213 0.377479
-0.198948 -0.454681 0.024022 -0.061828 -0.092937 0.377304
-0.197055 -0.450859 0.025150 -0.063244 -0.092614 0.377328
-0.194563 -0.447100 0.026004 -0.064637 -0.092223 0.377667
-0.191950 -0.442862 0.026672 -0.066137 -0.091738 0.378051
-0.189996 -0.438875 0.027574 -0.067530 -0.091153 0.378744
-0.188780 -0.435297 0.028723 -0.068999 -0.090576 0.379585
-0.185848 -0.432191 0.029329 -0.070326 -0.090020 0.380214
-0.182950 -0.429265 0.029990 -0.071221 -0.089378 0.380769
-0.180689 -0.425435 0.030534 -0.072113 -0.088642 0.381113
-0.178050 -0.422555 0.031125 -0.072725 -0.087930 0.380909
-0.175316 -0.418935 0.031453 -0.073284 -0.087096 0.380659
-0.172578 -0.415943 0.031892 -0.073792 -0.086116 0.380322
-0.170145 -0.412848 0.032264 -0.074101 -0.085183 0.379719
-0.168509 -0.409475 0.032954 -0.074511 -0.084495 0.378960
-0.166750 -0.407017 0.033640 -0.075073 -0.084066 0.377841
-0.164346 -0.403886 0.033726 -0.075590 -0.083815 0.376329
-0.162707 -0.401392 0.034229 -0.076402 -0.083702 0.375167
-0.161760 -0.398314 0.034935 -0.077321 -0.083696 0.374221
-0.158509 -0.395739 0.035004 -0.078277 -0.083664 0.373495
-0.156979 -0.393189 0.035315 -0.079562 -0.083687 0.373238
-0.155726 -0.390536 0.035827 -0.081093 -0.083866 0.373145
-0.152864 -0.389592 0.036011 -0.082670 -0.083970 0.372909
-0.151376 -0.387549 0.036252 -0.084198 -0.083987 0.373086
-0.149560 -0.386713 0.036714 -0.085655 -0.083869 0.373437
-0.147403 -0.385840 0.037092 -0.086751 -0.083765 0.374046
-0.145442 -0.384922 0.037576 -0.087981 -0.083640 0.375188
-0.144717 -0.385456 0.038642 -0.089014 -0.083638 0.375981
-0.142794 -0.384998 0.039299 -0.089925 -0.083758 0.376721
-0.141453 -0.385592 0.039954 -0.090790 -0.083847 0.377336
-0.138843 -0.386325 0.040566 -0.091291 -0.083951 0.377986
-0.137663 -0.385914 0.041531 -0.091823 -0.083937 0.378954
-0.136635 -0.387381 0.042610 -0.092189 -0.083869 0.379612
-0.135594 -0.387891 0.043614 -0.092357 -0.083859 0.380232
-0.134418 -0.389745 0.045056 -0.092359 -0.083970 0.380506
-0.134129 -0.391277 0.046494 -0.092317 -0.084240 0.380453
-0.133741 -0.392871 0.048024 -0.092124 -0.084666 0.380232
-0.132059 -0.395044 0.049144 -0.091843 -0.085009 0.380156
-0.131473 -0.397337 0.050866 -0.091304 -0.085300 0.380167
-0.130836 -0.401240 0.052613 -0.090367 -0.085928 0.380126
-0.130814 -0.404607 0.054508 -0.089031 -0.086864 0.380252
-0.130016 -0.408581 0.056269 -0.087203 -0.087992 0.380411
-0.130034 -0.412078 0.058261 -0.085011 -0.089266 0.380888
-0.130144 -0.416150 0.060681 -0.082560 -0.090760 0.381970
-0.130227 -0.419648 0.062821 -0.079894 -0.092628 0.383307
-0.130532 -0.424163 0.065028 -0.077085 -0.094622 0.384774
-0.130954 -0.428241 0.067550 -0.074312 -0.096630 0.386401
-0.130935 -0.431245 0.069712 -0.071912 -0.098479 0.388300
-0.130836 -0.436237 0.072052 -0.069479 -0.100099 0.389748
-0.131534 -0.440952 0.074706 -0.067021 -0.101666 0.391190
-0.132220 -0.445702 0.077476 -0.064411 -0.103242 0.392729
-0.132973 -0.450214 0.080026 -0.061858 -0.104740 0.394375
-0.133874 -0.455326 0.082897 -0.059215 -0.106252 0.395905
-0.134824 -0.460720 0.085662 -0.056693 -0.107913 0.397286
-0.135631 -0.466415 0.088531 -0.054253 -0.109478 0.398634
-0.136673 -0.471512 0.091422 -0.051738 -0.110965 0.399880
-0.137761 -0.476805 0.094376 -0.049403 -0.112319 0.401068
-0.138760 -0.482538 0.097333 -0.047257 -0.113552 0.402092
-0.140114 -0.487873 0.100335 -0.045269 -0.114574 0.402908
-0.140928 -0.493514 0.103221 -0.043533 -0.115343 0.403539
-0.142861 -0.499990 0.106585 -0.041942 -0.116046 0.403925
